benchmark	Type	Orig	Prop	Class	logs-avg.Storm.vi-topo	logs-avg.Storm.ovi-topo	logs-avg.Storm.vi2pi-topo-gmres	logs-avg.Storm.vi2lp-topo-gurobi	logs-avg.mcsta.vi	logs-avg.mcsta.ovi	logs-run1.Storm.vi-topo	logs-run1.Storm.ovi-topo	logs-run1.Storm.vi2pi-topo-gmres	logs-run1.Storm.vi2lp-topo-gurobi	logs-run1.mcsta.vi	logs-run1.mcsta.ovi	logs-run2.Storm.vi-topo	logs-run2.Storm.ovi-topo	logs-run2.Storm.vi2pi-topo-gmres	logs-run2.Storm.vi2lp-topo-gurobi	logs-run2.mcsta.vi	logs-run2.mcsta.ovi	logs-run3.Storm.vi-topo	logs-run3.Storm.ovi-topo	logs-run3.Storm.vi2pi-topo-gmres	logs-run3.Storm.vi2lp-topo-gurobi	logs-run3.mcsta.vi	logs-run3.mcsta.ovi	logs-run4.Storm.vi-topo	logs-run4.Storm.ovi-topo	logs-run4.Storm.vi2pi-topo-gmres	logs-run4.Storm.vi2lp-topo-gurobi	logs-run4.mcsta.vi	logs-run4.mcsta.ovi	logs-run5.Storm.vi-topo	logs-run5.Storm.ovi-topo	logs-run5.Storm.vi2pi-topo-gmres	logs-run5.Storm.vi2lp-topo-gurobi	logs-run5.mcsta.vi	logs-run5.mcsta.ovi	best
readers-writers.40.exp_time_many_requests	ma	greatspn	E	maqvbs	5.5878	3.8856	9.2912	724	2.88	2.86	5.494	3.858	8.874	724	2.8	2.8	5.511	4.249	9.728	724	2.9	2.8	5.583	3.772	9.823	724	2.9	2.9	5.607	3.79	9.188	724	2.9	2.9	5.744	3.759	8.843	724	2.9	2.9	2.8
readers-writers.40.pr_network	ma	greatspn	P	maqvbs	6.843999999999999	8.1722	14.351400000000002	15.453800000000001	3.2399999999999998	2.7199999999999998	6.19	7.551	13.872	16.043	2.7	2.4	6.087	7.506	13.81	13.716	3.6	2.5	7.312	8.387	14.578	15.814	4.0	2.6	7.232	8.431	14.805	15.829	3.0	3.1	7.399	8.986	14.692	15.867	2.9	3.0	2.4
refuel-mdp.80-40.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724
resource-gathering.1300-100-100.expsteps	mdp	prism	E	mdpqvbs	6.706999999999999	7.238200000000001	724	12.6304	7.640000000000001	7.88	6.744	7.184	724	12.625	7.7	8.0	6.733	7.192	724	12.659	7.6	8.1	6.694	7.066	724	12.823	7.7	8.0	6.706	7.067	724	12.857	7.6	7.7	6.658	7.682	724	12.188	7.6	7.6	6.658
resource-gathering.400-30-30.expsteps	mdp	prism	E	mdpqvbs	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1
sensor.4.max_success	mdp	prism	P	mdpmec	3.2847999999999997	83.3738	84.65979999999999	5.0628	1	724	3.269	84.455	84.642	5.319	1	724	3.27	83.132	84.61	5.0	1	724	3.274	83.08	84.661	4.949	1	724	3.307	83.09	84.681	5.026	1	724	3.304	83.112	84.705	5.02	1	724	1
sensor.5.max_success	mdp	prism	P	mdpmec	81.5344	724	724	95.2578	1	724	75.872	724	724	89.845	1	724	76.153	724	724	87.754	1	724	85.945	724	724	98.941	1	724	85.106	724	724	99.424	1	724	84.596	724	724	100.325	1	724	1
tireworld.17.goal	mdp	ppddl	P	mdpqvbs	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1
wlan-large.2.E_1	pta	modest	E	ptaqvbs	1.9797999999999998	2.07	2.1688	60.6044	8.66	14.76	2.191	2.095	2.183	56.802	8.6	14.9	1.935	2.106	2.172	62.75	8.6	14.9	1.857	2.04	2.194	62.523	8.8	14.9	1.908	2.062	2.166	62.8	8.6	14.5	2.008	2.047	2.129	58.147	8.7	14.6	1.857
wlan-large.2.E_and	pta	modest	E	ptaqvbs	2.0372	2.0986000000000002	2.1388000000000003	30.3622	9.1	17.76	1.954	2.078	2.226	30.754	8.9	16.6	2.067	2.058	2.164	30.633	9.0	16.6	2.047	2.116	2.2	30.685	9.0	18.5	2.141	2.126	2.214	30.022	9.0	18.6	1.977	2.115	1.89	29.717	9.6	18.5	1.89
